CID,IsomericSMILES,Descriptors,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
964,C(C(=O)C(=O)O)O,"['green', 'savory']",0,0,0,0,0,0,1,0,1,0,0
984,CCCCCCCCCCCCCCCC=O,"['flower', 'fruity']",0,0,0,0,1,1,0,0,0,0,0
985,CCCCCCCCCCCCCCCC(=O)O,['green'],0,0,0,0,0,0,1,0,0,0,0
989,CC1(COC(=O)C1O)C,['savory'],0,0,0,0,0,0,0,0,1,0,0
997,C1=CC=C(C=C1)CC(=O)C(=O)O,"['green', 'savory']",0,0,0,0,0,0,1,0,1,0,0
998,C1=CC=C(C=C1)CC=O,"['flower', 'earthy', 'fruity', 'green', 'savory']",0,0,0,1,1,1,1,0,1,0,0
1031,CCCO,"['animal', 'alcohol', 'savory', 'fruity']",1,1,0,0,0,1,0,0,1,0,0
1032,CCC(=O)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
1045,C(CCN)CN,['animal'],0,1,0,0,0,0,0,0,0,0,0
1060,CC(=O)C(=O)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
1103,C(CCNCCCN)CNCCCN,"['herbal', 'fruity']",0,0,0,0,0,1,0,1,0,0,0
1136,CC1=C(SC=N1)CCO,['savory'],0,0,0,0,0,0,0,0,1,0,0
1146,CN(C)C,"['savory', 'fruity']",0,0,0,0,0,1,0,0,1,0,0
1183,COC1=C(C=CC(=C1)C=O)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
1254,CC1CCC(C(C1)O)C(C)C,"['herbal', 'aquatic', 'animal']",0,1,1,0,0,0,0,1,0,0,0
1567,C(CS)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
2214,CC(=O)C1=CC(=C(C=C1)O)OC,['savory'],0,0,0,0,0,0,0,0,1,0,0
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,"['flower', 'herbal', 'fruity']",0,0,0,0,1,1,0,1,0,0,0
2682,CCCCCCCCCCCCCCCCO,"['flower', 'fruity']",0,0,0,0,1,1,0,0,0,0,0
2758,CC1(C2CCC(O1)(CC2)C)C,"['herbal', 'aquatic']",0,0,1,0,0,0,0,1,0,0,0
3102,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,"['flower', 'herbal', 'aquatic']",0,0,1,0,1,0,0,1,0,0,0
3327,CC(=CCCC(=CCCC(=CCO)C)C)C,"['green', 'flower', 'aquatic']",0,0,1,0,1,0,1,0,0,0,0
